Symbol,Name,Industry,Sector,Pre-Tax Profit Margin,Leverage Ratio,Current Ratio,Price / Book Ratio,Price / Cash Flow Ratio,Price / Free Cash Flow Ratio,Debt / Equity Ratio,Price / Sales Ratio,Last,Volume
PITPY,Indocement Tunggal Prakarsa ADR,Building Materials,Basic Materials,12.63,1.38,1.45,0.74,5.21,5.88,0.11,0.88,3.0550,783
MTU.PA,Manitou BF S.A.,Farm & Heavy Construction Machinery,Industrials,8.80,2.15,1.70,0.75,3.59,9.52,0.03,0.25,20.30,24192
FUJHY,Subaru Corp ADR,Auto Manufacturers,Consumer Cyclical,9.85,1.82,2.63,0.75,3.07,5.64,0.14,0.44,9.0620,100052
LKHLY,Lonking Holdings Ltd ADR,Farm & Heavy Construction Machinery,Industrials,9.92,1.45,2.64,0.75,5.77,6.16,0.00,0.79,12.9500,300
KKGI.JK,Resource Alam Indonesia,Thermal Coal,Energy,19.85,1.30,3.24,0.76,2.38,2.61,0.02,0.38,380.00,6321400
0012.KL,Three-A Resources Bhd,Packaged Foods,Consumer Defensive,8.93,1.12,7.88,0.76,6.36,7.89,0.01,0.66,0.765,159600
ELPQF,El Puerto de Liverpool S.A.B. de C.V. Series C1,Department Stores,Consumer Cyclical,14.68,1.66,1.76,0.77,6.75,15.71,0.23,0.56,4.7773,250
LIGHT.AS,Signify N.V.,Electrical Equipment & Parts,Industrials,7.78,2.38,1.22,0.77,5.04,6.12,0.49,0.40,18.17,1012022
G14.DE,Signify N.V.,Electrical Equipment & Parts,Industrials,7.78,2.38,1.22,0.77,5.18,6.16,0.49,0.40,17.89,558
BEKB.VI,Bekaert S.A. N.V.,Metal Fabrication,Industrials,7.54,1.84,1.72,0.77,4.38,11.56,0.35,0.45,33.40,0
LGHT.VI,Signify N.V.,Electrical Equipment & Parts,Industrials,7.78,2.38,1.22,0.77,5.05,6.17,0.49,0.40,17.89,0
2683.HK,Wah Sun Handbags International Holdings Ltd,Footwear & Accessories,Consumer Cyclical,5.68,1.55,2.62,0.77,6.76,8.00,0.08,0.35,0.52,622000
BEKB.BR,Bekaert S.A. N.V.,Metal Fabrication,Industrials,7.54,1.84,1.72,0.78,4.20,11.62,0.35,0.45,33.90,48175
2119.HK,Tsit Wing International Holdings Ltd,Beverages - Non-Alcoholic,Consumer Defensive,8.77,1.34,3.13,0.78,5.14,8.09,0.06,0.55,0.57,298000
0411.HK,Lam Soon (Hong Kong) Ltd,Packaged Foods,Consumer Defensive,5.50,1.25,4.18,0.79,6.36,7.06,0.00,0.49,10.20,1000
PHPPY,Signify N.V. ADR,Electrical Equipment & Parts,Industrials,7.76,2.38,1.22,0.79,5.18,6.13,0.49,0.40,10.8100,302
IRI.AX,Integrated Research Ltd,Software - Application,Technology,19.87,1.29,3.32,0.79,7.51,7.19,0.02,1.01,0.425,62564
6198.HK,Qingdao Port International Co Ltd,Marine Shipping,Industrials,28.63,1.48,1.98,0.80,59.90,-29.01,0.07,1.77,5.60,6246000
OMU.L,Old Mutual Ltd,Financial Conglomerates,Financial Services,,20.83,1.24,0.80,2.11,2.32,0.45,0.23,46.00,38127
MBAP.JK,Mitrabara Adiperdana,Thermal Coal,Energy,9.00,1.28,4.43,0.80,3.46,12.31,0.03,0.69,1775.00,1210800
INDB.MI,Indel B S.p.A.,Auto Parts,Consumer Cyclical,6.46,1.65,1.97,0.81,5.80,11.76,0.33,0.49,19.00,917
ITMG.JK,Indo Tambangraya Megah,Thermal Coal,Energy,20.72,1.25,4.48,0.81,3.62,4.34,0.04,0.68,22000,1871400
6340.T,Shibuya Corp,Specialty Industrial Machinery,Industrials,12.54,1.53,2.34,0.81,8.09,,0.04,0.67,3090.00,15700
INTP.JK,Indocement Tunggal Prakarsa,Building Materials,Basic Materials,12.59,1.38,1.45,0.81,5.41,6.55,0.11,0.98,5350.00,3297600
6038.HK,G&M Holdings Ltd,Engineering & Construction,Industrials,18.43,1.77,2.28,0.82,0.97,0.99,0.01,0.52,0.22,340000
BILN.L,Billington Holdings Plc,Engineering & Construction,Industrials,8.86,1.47,2.38,0.82,5.26,12.36,0.03,0.40,345.00,23060
BXP.L,Beximco Pharmaceuticals Ltd Gdr,Drug Manufacturers - Specialty & Generic,Healthcare,19.62,1.49,2.13,0.82,24.03,,0.12,0.60,39.73,1000
5276.KL,Dancomech Holdings Bhd,Pollution & Treatment Controls,Industrials,14.96,1.36,4.63,0.82,7.06,7.78,0.06,0.83,0.425,67400
SFFYF,Signify N.V.,Electrical Equipment & Parts,Industrials,7.76,2.38,1.22,0.82,5.18,6.39,0.49,0.41,22.6500,2455
ITAYY,Indo Tambangraya Megah ADR,Thermal Coal,Energy,20.75,1.25,4.48,0.82,3.62,4.38,0.04,0.69,2.5100,100
1571.HK,Xin Point Holdings Ltd,Auto Parts,Consumer Cyclical,21.82,1.25,2.81,0.82,3.36,4.39,0.04,0.89,3.23,1183159
PUTKY,United Tractors ADR,Other Industrial Metals & Mining,Basic Materials,20.21,1.82,1.54,0.85,2.79,4.84,0.22,0.58,26.7735,6616
SDL.NZ,Solution Dynamics Ltd,Software - Application,Technology,8.69,1.69,2.27,0.85,1.54,1.45,0.13,0.23,0.64,558
2166.HK,Smart-Core Holdings Ltd,Electronics & Computer Distribution,Technology,2.22,1.77,1.84,0.86,4.31,3.84,0.33,0.18,1.80,438000
BWLP,BW LPG Ltd,Marine Shipping,Industrials,15.06,1.67,1.34,0.86,2.00,2.36,0.40,0.36,10.08,506554
BWLP.IX,BW LPG Ltd,Marine Shipping,Industrials,15.06,1.67,1.34,0.86,2.00,2.36,0.40,0.36,10.08,494974
CGS.L,Castings Plc,Specialty Industrial Machinery,Industrials,6.75,1.28,3.53,0.87,15.45,,0.01,0.55,249.00,1552
0811.HK,Xinhua Winshare Publishing & Media Co Ltd,Publishing,Communication Services,11.79,1.57,1.79,0.88,7.01,7.82,0.01,1.04,11.22,1261000
900948.SS,Inner Mongolia Yitai Coal Co Ltd B,Thermal Coal,Energy,19.39,1.78,1.30,0.88,3.80,4.22,0.31,0.80,1.99,2032254
PWON.JK,Pakuwon Jati,Real Estate - Diversified,Real Estate,43.49,1.71,4.77,0.88,5.37,6.72,0.31,2.74,382.00,49074300
XYIGF,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,15.36,1.40,1.06,0.89,5.23,20.41,0.21,1.33,0.8966,410
0640.HK,Infinity Development Holdings Co Ltd,Specialty Chemicals,Basic Materials,16.03,1.40,2.86,0.89,5.32,9.48,0.07,0.70,0.92,52000
B26.SI,Ban Leong Technologies Ltd,Electronics & Computer Distribution,Technology,2.63,1.82,2.29,0.89,8.93,10.28,0.14,0.20,0.375,11900
1705.HK,B&S International Holdings Ltd,Food Distribution,Consumer Defensive,6.83,1.61,2.46,0.89,1.92,2.17,0.34,0.30,0.385,268000
XYIGY,Xinyi Glass Holdings Ltd ADR,Building Materials,Basic Materials,15.36,1.40,1.06,0.89,5.23,20.46,0.21,1.34,18.2740,632
BWLPG.OL,BW LPG Ltd,Marine Shipping,Industrials,15.05,1.67,1.34,0.89,2.15,2.44,0.40,0.38,103.40,228219
1979.HK,Ten Pao Group Holdings Ltd,Electrical Equipment & Parts,Industrials,7.53,2.92,1.10,0.89,1.91,4.04,0.38,0.31,1.62,396000
HNNA,Hennessy Advisors Inc,Asset Management,Financial Services,33.94,1.64,18.29,0.90,7.70,7.82,0.43,2.52,10.85,10063
UNTR.JK,United Tractors,Other Industrial Metals & Mining,Basic Materials,20.22,1.82,1.54,0.90,2.85,5.13,0.22,0.62,22700,8997100
9639.T,Sankyo Frontier Co Ltd,Real Estate - Diversified,Real Estate,15.35,1.45,1.13,0.92,6.84,,0.06,0.76,1920.00,56100
0868.HK,Xinyi Glass Holdings Ltd,Building Materials,Basic Materials,15.36,1.40,1.06,0.92,5.20,21.05,0.21,1.38,7.27,9352175
0788.HK,China Tower Corp Ltd,Telecom Services,Communication Services,16.34,1.66,1.21,0.93,3.60,9.30,0.46,1.88,11.24,16346723
2283.HK,TK Group (Holdings) Ltd,Specialty Chemicals,Basic Materials,13.09,1.51,2.63,0.93,4.42,5.55,0.06,0.67,1.90,1096000
TOTO.JK,Surya Toto Indonesia,Building Products & Equipment,Industrials,15.50,1.40,3.63,0.94,7.69,9.90,0.09,1.00,226.00,1736000
MAWANASUG.BO,Mawana Sugars Ltd,Confectioners,Consumer Defensive,5.66,1.82,1.50,0.94,,,0.49,0.24,89.09,6863
F9D.SI,Boustead Singapore Ltd,Conglomerates,Industrials,14.85,2.00,1.55,0.95,20.39,27.11,0.17,0.71,1.040,608400
ELNET.BO,Elnet Technologies Ltd,Real Estate - Diversified,Real Estate,73.57,1.13,8.29,0.95,,,0.03,7.45,340.20,1730
MAWANASUG.NS,Mawana Sugars Ltd,Confectioners,Consumer Defensive,5.66,1.82,1.50,0.97,,,0.49,0.25,88.89,44867
CHEVIOT.NS,Cheviot Company Ltd,Textile Manufacturing,Consumer Cyclical,8.53,1.10,5.45,0.98,17.76,,0.01,1.46,1046.10,589
CHEVIOT.BO,Cheviot Company Ltd,Textile Manufacturing,Consumer Cyclical,8.53,1.10,5.45,0.99,17.31,,0.01,1.48,1047.90,57
